@N: MF284 |Setting synthesis effort to medium for the design
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE.ram_opcode[15:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 16 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_1.ram_opcode[8:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 9 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_4.v":198:2:198:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_4.ram_opcode[9:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 10 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.Queue_3.ram_source[8:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 9 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.Queue_2.ram_opcode[6:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 7 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_5.v":264:2:264:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_5.ram_param[10:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 11 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_5.v":264:2:264:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_5.ram_error (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 1 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.Queue_3.ram_data[31:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 32 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.Queue_3.ram_error (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 1 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.Queue_2.ram_data[31:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 32 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.Queue_2.ram_address[30:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 31 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_1.ram_data[31:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 32 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_1.ram_error (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 1 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE.ram_data[31:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 32 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM sbus.SystemBus_slave_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE.ram_address[30:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) is 2 words by 31 bits.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Removing sequential instance debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[48] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Removing sequential instance debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[49] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Removing sequential instance debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[50] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Removing sequential instance debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[36] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Removing sequential instance debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AHB_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[37] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_6.v":286:2:286:7|RAM MIV_RV32IMA_L1_AHB_QUEUE_1.ram_source[5:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_TLCACHE_CORK_SYSTEM_BUS(verilog)) is 2 words by 6 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_6.v":286:2:286:7|RAM MIV_RV32IMA_L1_AHB_QUEUE.ram_size[1:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_TLCACHE_CORK_SYSTEM_BUS(verilog)) is 2 words by 2 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM PeripheryBus_slave_TLFragmenter_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE.ram_source[12:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) is 2 words by 13 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM PeripheryBus_slave_TLFragmenter_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_1.ram_source[8:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) is 2 words by 9 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM PeripheryBus_slave_TLFragmenter_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_1.ram_data[31:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) is 2 words by 32 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue_1.v":286:2:286:7|RAM PeripheryBus_slave_TLFragmenter_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE_1.ram_error (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) is 2 words by 1 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM PeripheryBus_slave_TLFragmenter_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE.ram_data[31:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) is 2 words by 32 bits.
@N: MF135 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_queue.v":286:2:286:7|RAM PeripheryBus_slave_TLFragmenter_TLBuffer.MIV_RV32IMA_L1_AHB_QUEUE.ram_address[30:0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) is 2 words by 31 bits.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater_2.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.MIV_RV32IMA_L1_AHB_REPEATER_2.saved_address[0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater_2.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.MIV_RV32IMA_L1_AHB_REPEATER_2.saved_address[1] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[1] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[16] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[17] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[18] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[19] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[20] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[21] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[22] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[23] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[24] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[25] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[26] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[27] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[28] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[29] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.Repeater_1.saved_address[30] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\github-lsram-12.3\future-avalanche-board\libero_projects\miv_ahb_pf_avalanche_es\component\work\miv_rv32ima_l1_ahb_0\miv_rv32ima_l1_ahb_0_0\core\miv_rv32ima_l1_ahb_repeater.v":176:2:176:7|Removing sequential instance PeripheryBus_slave_TLFragmenter.MIV_RV32IMA_L1_AHB_REPEATER.saved_address[0] (in view: work.MiV_RV32IMA_L1_AHB_0_MiV_RV32IMA_L1_AHB_0_0_MIV_RV32IMA_L1_AHB_PERIPHERY_BUS_PBUS(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
